Date String (YYYY-MM-DD hh:mm:ss) UTC,Semicolon delimited list of cut sizes present,total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),light absorption coefficient at STP (Mm⁻¹),light absorption coefficient at STP (Mm⁻¹),light absorption coefficient at STP (Mm⁻¹),measurement cell temperature (°C),measurement cell relative humidity (%),measurement cell pressure (hPa)
DateTimeUTC,Size,BsB_S11,BsG_S11,BsR_S11,BbsB_S11,BbsG_S11,BbsR_S11,BaB_A11,BaG_A11,BaR_A11,T_S11,U_S11,P_S11
2024-09-24 03:00:00,PM10,,,,,,,,,,,,
2024-09-24 03:01:00,PM10,0017.88,0013.12,0010.01,0002.48,0002.18,0001.70,0004.97,0004.64,0003.90,029.8,035.2,0893.6
2024-09-24 03:02:00,PM10,0019.38,0015.18,0011.04,0002.99,0002.17,0001.26,0005.49,0004.50,0004.31,029.8,035.3,0893.6
2024-09-24 03:03:00,PM10,0020.31,0014.98,0010.51,0002.57,0003.06,0001.71,0004.76,0004.06,0003.67,029.8,035.4,0893.6
2024-09-24 03:04:00,PM10,0020.81,0015.60,0011.03,0002.99,0002.70,0001.56,0005.21,0004.59,0002.09,029.8,035.3,0893.6
2024-09-24 03:05:00,PM10,0020.32,0015.37,0011.22,0003.31,0002.89,0001.40,0004.86,0004.45,0003.44,029.8,035.3,0893.6
2024-09-24 03:06:00,PM10,0020.78,0015.81,0011.38,0003.11,0002.47,0001.77,0005.50,0004.63,0003.99,029.8,035.2,0893.6
2024-09-24 03:07:00,PM10,0020.20,0014.82,0010.74,0003.21,0002.63,0002.48,0005.63,0005.09,0004.01,029.8,035.2,0893.6
2024-09-24 03:08:00,PM10,0019.35,0014.81,0010.47,0003.14,0002.52,0001.62,0005.61,0005.13,0004.13,029.8,035.3,0893.6
2024-09-24 03:09:00,PM10,0017.86,0013.43,0009.56,0003.22,0002.93,0001.31,0005.50,0004.37,0004.38,029.8,035.4,0893.6
2024-09-24 03:10:00,PM10,0016.74,0013.43,0009.04,0002.85,0002.59,0001.71,0006.59,0005.62,0003.48,029.8,035.5,0893.6
2024-09-24 03:11:00,PM10,0018.45,0013.12,0010.22,0003.18,0002.65,0001.95,0005.49,0004.49,0004.39,029.8,035.5,0893.6
2024-09-24 03:12:00,PM10,0017.40,0012.98,0008.33,0002.84,0002.35,0001.59,0005.19,0004.36,0002.60,029.8,035.5,0893.6
2024-09-24 03:13:00,PM10,0022.34,0016.02,0010.96,0003.94,0003.48,0002.41,0009.46,0007.35,0004.34,029.8,035.4,0893.6
2024-09-24 03:14:00,PM10,0049.05,0033.95,0020.67,0009.80,0007.52,0004.43,0023.26,0016.08,0009.00,029.8,035.3,0893.6
2024-09-24 03:15:00,PM10,0066.45,0043.44,0027.19,0013.03,0009.52,0006.54,0032.53,0022.19,0011.55,029.8,035.3,0893.6
2024-09-24 03:16:00,PM10,0054.12,0036.21,0022.06,0010.37,0007.77,0005.38,0025.41,0018.06,0010.18,029.8,035.3,0893.6
2024-09-24 03:17:00,PM10,0036.95,0025.58,0017.67,0006.77,0005.12,0003.74,0016.63,0012.00,0008.14,029.8,035.4,0893.6
2024-09-24 03:18:00,PM10,0039.94,0028.10,0018.32,0006.74,0005.62,0003.92,0017.01,0012.52,0007.10,029.8,035.5,0893.6
2024-09-24 03:19:00,PM10,0035.40,0024.69,0016.74,0006.27,0005.05,0003.43,0013.65,0010.06,0005.95,029.8,035.5,0893.6
2024-09-24 03:20:00,PM10,0035.68,0025.01,0015.80,0006.26,0004.55,0003.68,0013.36,0010.18,0006.79,029.8,035.5,0893.6
2024-09-24 03:21:00,PM10,0039.86,0027.84,0018.28,0007.69,0005.64,0003.70,0014.81,0010.87,0007.39,029.8,035.4,0893.6
