Date String (YYYY-MM-DD hh:mm:ss) UTC,Semicolon delimited list of cut sizes present,total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),total light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),backwards hemispheric light scattering coefficient at STP (Mm⁻¹),measurement cell temperature (°C),measurement cell temperature (°C),°C,measurement cell relative humidity (%),measurement cell relative humidity (%),humdified neph upstream RH (%),measurement cell pressure (hPa),measurement cell pressure (hPa)
DateTimeUTC,Size,BsB_S11,BsB_S12,BsG_S11,BsG_S12,BsR_S11,BsR_S12,BbsB_S11,BbsB_S12,BbsG_S11,BbsG_S12,BbsR_S11,BbsR_S12,T_S11,T_S12,T_V12,U_S11,U_S12,U_V12,P_S11,P_S12
2024-10-04 16:00:00,PM10,,,,,,,,,,,,,,,,,,,,
2024-10-04 16:01:00,PM10,0024.16,0024.05,0018.27,0017.44,0011.96,0012.41,0003.63,0003.31,0003.10,0002.94,0002.16,0002.65,029.7,027.3,027.8,030.8,043.2,048.1,0900.0,0896.5
2024-10-04 16:02:00,PM10,0026.02,0024.95,0018.17,0018.09,0012.16,0013.95,0004.00,0003.74,0003.20,0003.08,0002.63,0002.74,029.7,027.3,027.8,031.3,043.2,048.0,0900.0,0896.5
2024-10-04 16:03:00,PM10,0026.20,0025.41,0018.51,0018.34,0012.48,0013.02,0003.43,0003.61,0003.19,0003.22,0002.35,0002.23,029.7,027.3,027.8,031.4,042.9,047.5,0900.0,0896.5
2024-10-04 16:04:00,PM10,0026.55,0026.47,0019.79,0018.58,0013.07,0013.09,0004.05,0003.84,0002.66,0003.45,0002.53,0002.10,029.7,027.3,027.9,031.4,042.7,047.3,0900.0,0896.5
2024-10-04 16:05:00,PM10,0027.78,0026.36,0021.23,0019.62,0013.98,0014.09,0003.80,0004.98,0003.44,0003.75,0002.80,0002.96,029.7,027.3,027.9,031.6,042.6,047.2,0900.1,0896.5
2024-10-04 16:06:00,PM10,0027.88,0028.10,0020.28,0019.33,0013.26,0014.34,0004.11,0004.79,0003.44,0002.99,0003.02,0002.56,029.7,027.3,027.9,031.6,042.6,047.1,0900.1,0896.5
2024-10-04 16:07:00,PM10,0027.90,0028.42,0020.24,0020.24,0014.03,0013.74,0003.85,0003.95,0003.33,0003.33,0002.71,0002.95,029.7,027.3,027.8,031.6,042.3,046.8,0900.1,0896.5
2024-10-04 16:08:00,PM10,0028.28,0027.43,0020.54,0019.79,0014.13,0014.99,0004.19,0004.02,0003.96,0003.27,0002.59,0002.94,029.7,027.3,027.8,031.5,042.1,046.5,0900.1,0896.6
